,SchoolCode,Expenditure
823,2964,6935905
824,2966,6353810
825,2967,8556091
826,2968,1677381
827,2969,5487177
828,2970,6357714
829,2971,6561026
830,2972,3624440
831,2974,20537284
832,2975,6332972
833,2976,8514851
834,2977,7127352
835,2980,5762509
836,2981,7230615
837,2982,11527401
838,2983,9258203
839,2984,9734268
840,2986,113244
841,2990,7645610
842,2992,6720097
843,2993,7615231
844,2994,6752185
845,2995,5155998
846,2996,12703442
847,2997,4950990
848,2998,4098273
849,2999,8002033
850,3000,6679849
851,3001,8516364
852,3002,22149860
853,3003,4772886
854,3005,5210684
855,3006,773277
856,3007,7518425
857,3008,4496520
858,3010,16885582
859,3011,3087235
860,3012,2481531
861,3013,7821445
862,3014,4101167
863,3015,13985098
864,3016,9861061
865,3017,7559464
866,3018,10764468
867,3019,6023428
868,3020,6420444
869,3021,5102015
870,3022,12636281
871,3023,3680325
872,3024,5104641
873,3025,4822338
874,3026,7009052
875,3027,6013502
876,3028,5288685
877,3029,21636113
878,3032,5234430
879,3034,6696514
880,3035,12143084
881,3036,8583084
882,3038,13681211
883,3041,7195440
884,3043,6178556
885,3046,10171596
886,3047,941330
887,3048,1195070
888,3049,1828729
889,3050,1147106
890,3051,6242366
891,3052,10932428
892,3053,5559280
893,3054,11399306
894,3055,4164461
895,3056,6657640
896,3057,5544067
897,3059,6968682
898,3060,9589367
899,3062,1203889
900,3063,7577364
901,3064,4456418
902,3065,25819308
903,3066,3466727
904,3067,7566696
905,3068,1437821
906,3069,1794157
907,3070,6973785
908,3071,11118806
909,3072,4648631
910,3073,3355439
911,3074,13450257
912,3075,2088228
913,3077,6327239
914,3078,5460906
915,3079,5130375
916,3080,5280151
917,3081,16344047
918,3082,5426684
919,3083,5907059
920,3085,9935240
921,3086,2636067
922,3087,2578247
923,3088,11458861
924,3089,4330419
925,3090,8548805
926,3091,6744956
927,3092,6552852
928,3094,7229496
929,3095,18209330
930,3096,17234857
931,3097,9195529
932,3098,10521758
933,3099,14110709
934,3100,9780663
935,3101,7660732
936,3104,8420680
937,3105,8384961
938,3106,20067979
939,3107,7251637
940,3108,6291690
941,3109,18068931
942,3110,4856625
943,3111,1614286
944,3112,2627475
945,3113,1453239
946,3116,7276915
947,3117,7337926
948,3119,4278718
949,3120,12656143
950,3121,9201482
951,3122,7249881
952,3123,22867921
953,3124,8407853
954,3125,6108343
955,3126,567607
956,3127,5240722
957,3128,6513492
958,3129,3473227
959,3130,10740567
960,3132,21898867
961,3133,6357889
962,3134,6015683
963,3136,9782898
964,3137,874099
965,3138,8855470
966,3141,12069834
967,3142,437956
968,3144,6918271
969,3145,4145915
970,3146,12854918
971,3147,13970530
972,3148,6486887
973,3149,7375307
974,3151,12691833
975,3152,7319871
976,3153,6704313
977,3154,2079338
978,3155,2007591
979,3157,5826824
980,3159,7560251
981,3160,6888594
982,3162,7331990
983,3163,9391508
984,3165,9114498
985,3166,8092852
986,3167,8621683
987,3168,8734343
988,3169,11741523
989,3171,5729200
990,3172,5136106
991,3173,4675085
992,3174,7459215
993,3175,9958888
994,3176,7061717
995,3179,11547071
996,3180,7241172
997,3181,10063554
998,3182,5153816
999,3183,8167587
1000,3184,9420216
1001,3185,4059751
1002,3186,8688582
1003,3187,7073541
1004,3188,2891763
1005,3189,18344411
1006,3190,7684984
1007,3191,10985014
1008,3192,3740258
1009,3193,265276
1010,3194,4558991
1011,3195,10873142
1012,3196,3862511
1013,3197,533191
1014,3198,3631120
1015,3199,8030777
1016,3200,4946863
1017,3201,9740184
1018,3202,5024249
1019,3203,6101766
1020,3204,3873742
1021,3205,1452523
1022,3206,25617146
1023,3207,4608900
1024,3208,4597935
1025,3209,7808964
1026,3210,9306943
1027,3211,4858487
1028,3212,6290571
1029,3213,101488
1030,3214,2115542
1031,3215,29347106
1032,3216,2893735
1033,3217,9002584
1034,3218,6405909
1035,3219,14546404
1036,3224,7949729
1037,3225,9275182
1038,3226,8156600
1039,3227,6528937
1040,3228,9331986
1041,3230,7009509
1042,3231,8227551
1043,3232,13337731
1044,3233,8608107
1045,3234,5521071
1046,3236,15082874
1047,3237,11008001
1048,3238,3560501
1049,3239,4518506
1050,3240,8361326
1051,3241,15695529
1052,3244,9653766
1053,3246,18313297
1054,3247,21529491
1055,3248,11418328
1056,3249,6685100
1057,3250,10854046
1058,3251,9186629
1059,3252,6452090
1060,3253,14293992
1061,3254,7550344
1062,3255,6690971
1063,3257,10524141
1064,3258,8804711
1065,3259,5218168
1066,3260,6288811
1067,3261,6969116
1068,3262,8156445
1069,3264,7238467
1070,3266,4023803
1071,3267,10825882
1072,3268,6037801
1073,3269,1490632
1074,3270,4272992
1075,3272,7940877
1076,3273,4394098
1077,3274,11191685
1078,3275,4018224
1079,3276,21830604
1080,3277,8984638
1081,3278,9553465
1082,3279,20816380
1083,3280,10607457
1084,3282,18557946
1085,3283,14418839
1086,3286,11626283
1087,3287,6899958
1088,3288,5325410
1089,3289,2137365
1090,3290,1894141
1091,3291,8102481
1092,3292,10390935
1093,3293,6317704
1094,3295,2789297
1095,3296,8492229
1096,3297,6348691
1097,3298,7478279
1098,3299,7994066
1099,3300,14690526
1100,3301,6498459
1101,3302,8815648
1102,3303,19167083
1103,3304,9370262
1104,3305,6094754
1105,3307,4768888
1106,3309,7203641
1107,3310,7897083
1108,3311,2624668
1109,3312,7855632
1110,3313,12752468
1111,3314,6621263
1112,3315,6171837
1113,3316,8021799
1114,3317,2697459
1115,3318,8118714
1116,3319,6128734
